id	sentiment	review
103	0	that these relics are preserved and catalogued properly
104	0	Take a look at this drawing that we found just today
105	0	A piece of paper that s been underwater for 84 years
106	0	and my team are able to preserve it intact
107	4	Should this have remained unseen at the bottom of the ocean for eternity
108	0	We can see it and
109	0	I ll be goddamned
110	0	Brock there s a satellite call for you
111	0	Bobby we re launching  See these submersibles going in the water
112	0	Trust me buddy you want to take this call
113	0	This better be good
114	0	You got to speak up  She s kind of old Great
115	0	This is Brock Lovett  How can I help you Mrs
116	0	Calvert  Rose Calvert
117	0	Mrs  Calvert
118	0	I was just wondering if you had found the  Heart of the Ocean  yet Mr  Lovett
119	4	Told you you wanted to take the call
120	4	All right you have my attention Rose
121	0	Can you tell us who the woman in the picture is
122	4	Oh yes  The woman in the picture is me
123	4	She s a goddamn liar  Some nutcase seeking money or publicity
124	4	God only knows why  Like that Russian babe Anesthesia
125	4	They re inbound
126	0	Rose Dewitt Bukater died on the Titanic when she was 17 right
127	0	That s right
128	0	If she had lived she d be over 100 by now
129	0	101 next month
130	2	Okay so she s a very old goddamn liar
131	0	Look I ve already done the background on this woman
132	0	all the way back to the  20s when she was working as an actress
133	0	An actress  There s your first clue Sherlock
134	0	Her name was Rose Dawson back then  Then she marries this guy named Calvert
135	0	They move to Cedar Rapids and she punches out a couple of kids
136	0	Now Calvert s dead and from what I hear Cedar Rapids is dead
137	0	And everybody who knows about the diamond
138	0	is supposed to be dead or on this boat but she knows
139	0	Doesn t exactly travel light does she
140	0	Hurry up give him a hand
141	0	Mrs  Calvert I m Brock Lovett  Welcome to the Keldysh
142	0	Okay let s get her inside there
143	0	Hi Miss Calvert Hi
144	4	Welcome to the Keldysh Thanks
145	0	Yes
146	0	Are your staterooms all right Oh yes very nice
147	4	Have you met my granddaughter Lizzy  She takes care of me
148	0	We met just a few minutes ago  Remember Nana up on deck
149	0	Oh yeah
150	0	There  That s nice  Have to have my pictures when I travel
151	0	Can I get you anything  Is there anything you d like
152	0	Yes
153	0	I would like to see my drawing
154	0	Louis XVI wore a fabulous stone called the Blue Diamond of the Crown
155	0	It disappeared in 1792
156	0	About the same time old Louis lost everything from the neck up
157	0	The theory goes that the crown diamond was chopped too
158	0	Recut into a heartlike shape that became known as the  Heart of the Ocean
159	0	Today it would be worth more than the Hope Diamond
160	0	It was a dreadful heavy thing  I only wore it this once
161	0	You actually think this is you Nana
162	0	It is me dear
163	4	Wasn t I a dish
164	0	I tracked it down through insurance records
165	0	An old claim that was settled under terms of absolute secrecy
166	0	Can you tell me who the claimant was Rose
167	0	I should imagine someone named Hockley
168	0	Nathan Hockley  That s right  Pittsburgh steel tycoon
169	0	The claim was for a diamond necklace his son Caledon bought his fiance you
170	0	A week before he sailed on Titanic
171	0	It was filed right after the sinking
172	0	So the diamond had to have gone down with the ship
173	0	You see the date
174	0	April 14 1912
175	0	Which means if your grandmother is who she says she is
176	0	she was wearing the diamond the day the Titanic sank
177	4	And that makes you my new best friend
178	0	These are some of the things we recovered from your stateroom
179	4	This was mine
180	0	How extraordinary
181	4	And it looks the same as it did the last time I saw it
182	0	The reflection has changed a bit
183	0	Are you ready to go back to Titanic
184	0	Here we go  She hits the  berg on the starboard side
185	0	She kind of bumps along punching holes like Morse code along the side
186	0	below the water line
187	0	Then the forward compartments start to flood
188	0	Now as the water level rises it spills over the watertight bulkheads
189	0	which unfortunately don  t go any higher than  E  deck
190	0	So now as the bow goes down the stern rises up slow at first
191	0	then faster and faster until finally she s got her whole ass sticking in the air
192	0	And that s a big ass  We re talking 20  000 30  000 tons
193	0	Okay  And the hull s not designed to deal with that pressure
194	0	So what happens  She splits right down to the keel
195	0	and the stern falls back level
196	0	Then as the bow sinks it pulls the stern vertical and then finally detaches
197	0	Now the stern section kind of bobs there like a cork for a couple of minutes
198	0	floods and finally goes under about 2 20 am
199	0	2 hours and 40 minutes after the collision
200	0	The bow section planes away landing about a a mile away
201	0	going 20 30 knots when it hits the ocean floor
202	0	Pretty cool huh
203	0	Thank you for that fine forensic analysis Mr  Bodine
204	0	Of course the experience of it was
205	0	somewhat different
206	0	Will you share it with us
207	0	I m taking her to rest No
208	0	Come on Nana No
209	0	Give me the tape recorder
210	0	Tell us Rose
211	0	It s been 84 years
212	0	It s okay  Just try to remember anything anything at all
213	0	Do you want to hear this or not Mr  Lovett
214	0	It s been 84 years
215	4	and I can still smell the fresh paint
216	4	The china had never been used
217	4	The sheets had never been slept in
218	4	Titanic was called  The Ship of Dreams
219	4	And it was
220	4	It really was
221	4	All thirdclass passengers with a forward berth
222	4	this way please  This queue  Right here
223	4	It s a big boat huh Daddy it s a ship
224	4	You re right
225	0	I don t see what all the fuss is about
226	2	It doesn t look any bigger than the Mauretania
227	4	You can be blas  about some things Rose but not about Titanic
228	4	It s over 100 feet longer than Mauretania and far more luxurious
229	0	Your daughter is far too difficult to impress Ruth
230	0	So this is the ship they say is unsinkable
231	0	It is unsinkable  God himself could not sink this ship
232	0	Sir you have to check your baggage through the main terminal
233	0	It s round that way sir
234	0	I put my faith in you good sir  Now kindly see my man
235	0	Yes sir  It s my pleasure sir  If I can do anything at all
236	0	Yes right
237	0	All the trunks from that car there  12 from here
238	0	And the safe to the parlor suite rooms B52 54 56
239	0	Ladies we better hurry  Come along
240	0	My coat I have it miss
241	0	Queue here for health inspection
242	0	All thirdclass passengers queue here for health inspection
243	0	Chin up
244	0	Welcome aboard ma am Welcome to Titanic
245	0	It was the ship of dreams to everyone else
246	0	To me it was a slave ship
247	0	taking me back to America in chains
248	0	Outwardly I was everything a well brought up girl should be
249	0	Inside I was screaming
250	0	Jack you are pazzo  You bet everything we have
251	0	When you got nothing you got nothing to lose
252	0	Sven
253	0	Bet
254	0	All right
255	0	Moment of truth  Somebody s life is about to change
256	0	Brizio
257	0	Niente Niente
258	0	Olaf
259	0	Nothing
260	0	Sven
261	0	2 pair
262	0	I m sorry Fabrizio
263	0	Che sorry ma vaffanculo  Did you bet all our money
264	0	I m sorry you re not going to see your mom again for a long time
265	4	Cause we re going to America  Full house boys
266	4	Come on
267	4	I m going home
268	4	I m going home I go to America
269	4	No mate
270	4	Titanic go to America in 5 minutes
271	4	Shit Fabri  Come on  Come on here
272	4	We re riding in high style now  We re a couple of regular swells
273	4	We re practically goddamn royalty ragazzo mio
274	4	You see  Is my destino
275	4	Like I told you I go to America to be millionaire
276	4	You are pazzo Maybe but I ve got the tickets
277	4	I thought you were fast Aspetta
278	4	Wait  Hey wait
279	4	We re passengers  Passengers
280	4	Have you been through the inspection queue
281	4	Of course
282	4	Anyway we don t have any lice  We re Americans both of us
283	4	Right  Come aboard
284	4	We re the luckiest sons of bitches in the world  You know that
285	4	Goodbye
286	4	You know somebody Of course not  That s not the point
287	4	Goodbye  I ll miss you Goodbye
288	4	Goodbye I will never forget you
289	4	Come with me darling  Let s go
290	4	G60
291	4	Excuse me ma am
292	4	Right here
293	4	How you doing  Jack  Nice to meet you
294	4	Jack Dawson  Nice to meet you  How you doing
295	0	Who says you get top bunk
296	0	This is your private promenade deck sir
297	0	Would you be requiring anything  Excuse me
298	0	This one No
299	0	It had a lot of faces on it
300	0	This is the one
301	0	Would you like all of them out miss
302	0	Yes we need a little color in this room
303	0	Put it in there  In the wardrobe
304	0	God not those fingerpaintings again
305	0	They certainly were a waste of money
306	0	The difference between Cal s taste in art and mine is that I have some
307	4	They re fascinating
308	4	like being inside a dream or something
309	0	There s truth but no logic
310	0	What s the artist s name Something Picasso
311	0	Something Picasso  He won t amount to a thing  He won t trust me
312	0	Put the Degas in the bedroom At least they were cheap
313	0	Put it in the wardrobe
314	0	At Cherbourg a woman came aboard named Margaret Brown
315	0	We all called her Molly
316	0	History would call her the  Unsinkable Molly Brown
317	0	I wasn t about to wait all day for you sonny
318	0	Here if you think you can manage
319	0	Her husband had struck gold someplace out west
320	0	And she was what mother called  New Money
321	0	By the next afternoon we were steaming west
322	0	from the coast of Ireland
323	0	with nothing out ahead of us but ocean
324	0	Take her to sea Mr  Murdoch  Let s stretch her legs
325	0	Yes sir
326	0	All ahead full Mr  Moody Very good sir
327	0	All ahead full
328	0	All ahead full
329	0	Come on lads step lively
330	0	What s the reading
331	0	All right  Let s stoke her right up  We go full ahead
332	0	Come on right back to work
333	0	21 knots sir
334	0	Hey look
335	0	See it
336	0	There s another one  See him
337	4	Look at that one  Look at him jump
338	4	I can see the Statue of Liberty already
339	4	Very small of course
340	4	I m the king of the world
341	4	She s the largest moving object ever made by the hand of man in all history
342	4	And our master shipbuilder Mr  Andrews here designed her from the keel plates up
343	4	I may have knocked her together but the idea was Mr  Ismay s
344	4	He envisioned a steamer so grand in scale
345	4	and so luxurious in its appointments that its supremacy would never be challenged
346	4	And here she is willed into solid reality
347	4	Hear hear
348	0	The salmon
349	0	You know I don t like that Rose
350	0	She knows
351	0	We ll both have the lamb  Rare with very little mint sauce
352	0	You like lamb right sweet pea
353	0	Sausage
354	0	You gonna cut her meat for her too there Cal
355	0	Hey who thought of the name Titanic
356	0	Was it you Bruce Yes actually
357	0	I wanted to convey sheer size
358	0	And size means stability luxury
359	0	and above all strength
360	0	Do you know of Dr  Freud Mr  Ismay
361	0	His ideas about the male preoccupation with size
362	0	might be of particular interest to you
363	0	What s gotten into you
364	0	Excuse me
365	0	I do apologize
366	0	She s a pistol Cal  Hope you can handle her
367	0	I may have to start minding what she reads from now on
368	0	won t I Mrs  Brown
369	0	Freud who is he  Is he a passenger
370	0	The ship is nice
371	0	Yeah it s an Irish ship
372	0	Is English no
373	0	No it was built in Ireland  15  000 Irishmen built this ship
374	0	Solid as a rock  Big Irish hands
375	0	Well that s typical
376	0	Firstclass dogs come down here to take a shit
377	0	Lets us know where we rank in the scheme of things
378	0	Like we could forget
379	0	I m Tommy Ryan
380	0	Jack Dawson Hello
381	0	Fabrizio Hi
382	0	Do you make any money with your drawings
383	0	Forget it boyo
384	0	You d as like have angels fly out of your arse
385	0	as get next to the likes of her
386	0	I saw my whole life as if I d already lived it
387	1	An endless parade of parties and cotillions
388	1	yachts and polo matches
389	1	Always the same narrow people the same mindless chatter
390	1	I felt like I was standing at a great precipice
391	1	with no one to pull me back
392	1	No one who cared
393	0	or even noticed
394	0	Don t do it
395	0	Stay back
396	0	Don t come any closer
397	0	Come on  Just give me your hand I ll pull you back over
398	2	No  Stay where you are
399	2	I mean it
400	2	I ll let go
401	0	No you won t
402	2	What do you mean no I won t
403	2	Don t presume to tell me what I will and will not do  You don t know me
404	0	Well you would have done it already
405	2	You re distracting me  Go away
406	0	I can t  I m involved now
407	0	You let go and I m gonna have to jump in there after you
408	2	Don t be absurd
409	2	You ll be killed I m a good swimmer
410	2	The fall alone will kill you
411	2	It would hurt  I m not saying it wouldn t
412	2	To tell you the truth I m a lot more concerned
413	2	about that water being so cold
414	0	How cold
415	0	Freezing  Maybe a couple of degrees over
416	0	You ever You ever been to Wisconsin
417	0	What
418	0	They have some of the coldest winters around
419	0	I grew up there near Chippewa Falls
420	0	I remember when I was a kid me and my father
421	4	we went ice fishing out on Lake Wissota
422	4	Ice fishing is you know where you I know what ice fishing is
423	0	Sorry
424	0	You just seem like you know kind of an indoor girl
425	0	Anyway I
426	1	I fell through some thin ice
427	1	And I m telling you
428	1	water that cold
429	1	like right down there
430	1	it hits you like a 1  000 knives stabbing you all over your body
431	1	You can t breathe  You can t think
432	1	Least not about anything but the pain
433	1	Which is why I m not looking forward to jumping in there after you
434	0	Like I said
435	0	I don t have a choice
436	0	I guess I m kind of hoping you ll come back over the rail an
437	0	and get me off the hook here
438	0	You re crazy
439	0	That s what everybody says bu
440	0	but with all due respect miss
441	0	I m not the one hanging off the back of a ship here
442	0	Come on
443	0	Give me your hand
444	0	You don t want to do this
445	0	I m Jack Dawson
446	0	Rose Dewitt Bukater
447	0	I ll have to get you to write that one down
448	0	Come on
449	0	I got you  Come on
450	0	Come on
451	0	Help please
452	0	Please help me Listen to me  I ve got you
453	0	I won t let go
454	0	Now pull yourself up  Come on
455	0	Come on  That s right
456	0	You can do it
457	0	I got you
458	0	What s all this
459	0	You stand back  And don t move an inch
460	0	Fetch the masteratarms
461	0	This is completely unacceptable
462	2	What made you think you could put your hands on my fiance
463	2	Look at me you filth
464	2	Cal What do you think you were doing
465	2	Cal stop  It was an accident
466	2	An accident
467	2	It was
468	0	Stupid really
469	0	I was leaning over and I slipped
470	0	I was leaning far over to see the
471	0	Propellers Propellers and I slipped
472	0	And I would have gone overboard but Mr  Dawson here saved me
473	0	And almost went over himself
474	0	She wanted to see the propellers
475	0	Like I said women and machinery do not mix
476	0	Was that the way of it
477	0	Yeah that was pretty much it
478	0	Well the boy s a hero then  Good for you son  Well done
479	4	So it s all s well and back to our brandy eh Aha
480	0	Look at you  You must be freezing  Let s get you inside
481	0	Err perhaps a little something for the boy
482	0	Of course
483	0	Mr  Lovejoy
484	0	I think a 20 should do it
485	0	Is that the going rate for saving the woman you love
486	0	Rose is displeased
487	0	What to do
488	0	I know
489	0	Perhaps you could join us for dinner tomorrow evening
490	0	To regale our group with your heroic tale
491	4	Sure  Count me in
492	4	Good  It s settled then
493	4	This should be interesting
494	0	Can I bum a smoke
495	0	You ll want to tie those
496	0	It s interesting  The young lady slipped so suddenly
497	0	and you still had time to remove your jacket and your shoes
498	0	I know you ve been melancholy
499	0	I don t pretend to know why
500	1	I intended to save this
501	1	until the engagement gala next week
502	0	But I thought tonight
503	0	Good gracious
504	0	Perhaps as a reminder of my feelings for you
505	0	Is it a Diamond  Yes
506	0	56 carats to be exact
507	0	It was worn by Louis XVI
508	4	And they called it  Le Coeur de la Mer
509	4	The  Heart of the Ocean  The  Heart of the Ocean Yes
510	4	It s overwhelming
511	4	It s for royalty
512	4	We are royalty Rose
513	4	You know there is nothing I couldn t give you
514	4	There is nothing I d deny you
515	4	if you would not deny me
516	1	Open your heart to me Rose
517	1	I ve been on my own since I was 15
518	1	Since my folks died
519	1	And I had no brothers or sisters or close kin in that part of the country
520	1	So I lit on out of there and I haven t been back since
521	1	You can just call me a tumbleweed blowing in the wind
522	1	Well Rose we ve walked about a mile around this boat deck
523	1	chewed over how great the weather s been and how I grew up
524	1	but I reckon that s not why you came to talk to me is it
525	1	Mr  Dawson I Jack
526	0	Jack
527	0	I want to thank you for what you did
528	0	Not just for pulling me back
529	4	but for your discretion You re welcome
530	0	Look
531	0	I know what you must be thinking
532	1	Poor little rich girl  What does she know about misery
533	0	No
534	0	That s not what I was thinking
535	0	What I was thinking was
536	1	what could have happened to this girl to make her think she had no way out
537	0	Well I
538	1	It was everything
539	1	It was my whole world and all the people in it
540	1	And the inertia of my life
541	1	plunging ahead and me powerless to stop it
542	1	God look at that thing
543	1	You d have gone straight to the bottom
544	0	500 invitations have gone out
545	0	All of Philadelphia society will be there
546	0	And all the while I feel I m
547	1	standing in the middle of a crowded room
548	1	screaming at the top of my lungs and no one even looks up
549	0	Do you love him
550	0	Pardon me
551	0	Do you love him
552	0	You re being very rude  You shouldn t be asking me this
553	0	It s a simple question  Do you love the guy or not
554	0	This is not a suitable conversation
555	0	Why can t you just answer the question
556	0	This is absurd
557	0	You don t know me and I don t know you
558	0	and we are not having this conversation at all
559	0	You are rude and uncouth and presumptuous and
560	0	I am leaving now
561	0	Jack Mr  Dawson it s been a pleasure
562	0	I sought you out to thank you and now I have thanked you
563	0	And you ve insulted me
564	0	Well you deserved it
565	0	Right Right
566	0	I thought you were leaving I am
567	2	You are so annoying
568	2	Wait I don t have to leave
569	2	This is my part of the ship  You leave
570	4	Well well well  Now who s being rude
571	0	What is this stupid thing you re carrying around
572	0	So what are you an artist or something
573	4	These are rather good
574	4	They re  they re very good actually
575	4	Jack this is exquisite work
576	4	They didn t think too much of them in old Paree
577	4	Paris
578	0	You do get around for a
579	1	Well a person of limited means
580	0	Go on a poor guy  You can say it
581	0	Well well well
582	0	And these were drawn from life
583	4	That s one of the good things about Paris
584	4	Lots of girls willing to take their clothes off
585	0	You liked this woman
586	0	You used her several times
587	0	Well she had beautiful hands you see
588	0	I think you must have had a love affair with her
589	0	No no no no  just with her hands
590	1	She was a onelegged prostitute
591	1	See
592	4	She had a good sense of humor though
593	1	And this lady
594	1	she used to sit at this bar every night
595	1	wearing every piece of jewelry she owned just
596	1	waiting for her long lost love
597	1	We called her Madame Bijoux
598	1	See her clothes are all motheaten
599	1	Well you have a gift Jack
600	1	You do
601	1	You see people I see you
602	1	And
603	1	You wouldn t have jumped
604	1	But the purpose of university is to find a suitable husband
605	1	Rose has already done that
606	0	Look here comes that vulgar  Brown  woman
607	0	Quickly get up before she sits with us
608	4	Hello girls  I was hoping I d catch you at tea
609	0	We re awfully sorry  You missed it
610	0	The Countess and I were just off to take the air on the boat deck
611	4	What a lovely idea  I need to catch up on my gossip
612	0	Countess
613	0	You ve not yet lit the last 4 boilers
614	0	No I don t see the need
615	0	We are making excellent time
616	0	The press knows the size of Titanic
617	0	Now I want them to marvel at her speed
618	0	We must give them something new to print
619	0	This maiden voyage of Titanic must make headlines
620	0	Mr  Ismay
621	2	I would prefer not to push the engines until they ve been properly run in
622	0	Of course I m just a passenger
623	0	I leave it to your good offices to decide what s best
624	2	But what a glorious end to your final crossing
625	2	if we were to get into New York on Tuesday night and surprise them all
626	2	Make the morning papers
627	2	Retire with a bang eh E J
628	0	Good man
629	2	Well after that I worked on a squid boat in Monterey
630	0	then I went down to Los Angeles to the pier in Santa Monica
631	0	and started doing portraits there for 10 cents a piece
632	1	Why can t I be like you Jack
633	1	Just head out for the horizon whenever I feel like it
634	1	Say we ll go there sometime to that pier
635	1	even if we only ever just talk about it
636	4	No we ll do it  We ll drink cheap beer
637	4	we ll ride on the roller coaster till we throw up
638	4	Then we ll ride horses on the beach right in the surf
639	4	But you ll have to do it like a real cowboy none of that sidesaddle stuff
640	4	You mean one leg on each side Yeah
641	4	Can you show me Sure if you like
642	4	Teach me to ride like a man
643	4	And chew tobacco like a man
644	4	And spit like a man
645	0	What they didn t teach you that in finishing school
646	0	No
647	4	Come on I ll show you  Let s do it
648	4	I ll show you how come on
649	0	Jack no Come on
650	0	No  Wait Jack Come on
651	0	No Jack  I couldn t possibly Jack
652	0	Watch closely
653	0	That s disgusting
654	4	All right your turn
655	0	That was pitiful  Come on you really gotta hawk it back
656	0	Get some leverage to it use your arms
657	0	arc your neck
658	0	You see the range on that thing
659	0	Okay go
660	4	That was better  You got to work on it Really
661	4	Really try to hawk it up and get some body to it  You gotta
662	0	Mother
663	0	May I introduce Jack Dawson
664	0	Charmed I m sure
665	0	The others were gracious and curious
666	0	about the man who d saved my life
667	0	But my mother looked at him like an insect
668	0	A dangerous insect which must be squashed quickly
669	0	Jack sounds like you re a good man to have around in a sticky spot
670	0	Why do they always insist on announcing dinner
671	0	like a damn cavalry charge
672	0	Shall we go dress Mother
673	0	See you at dinner Jack
674	0	Son
675	0	Son
676	0	Do you have the slightest comprehension of what you re doing
677	0	Not really
678	0	You re about to go into the snake pit
679	0	What are you planning to wear
680	4	I figured  Come on
681	4	I was right
682	4	You and my son are just about the same size
683	4	Pretty close
684	4	You shine up like a new penny
685	0	Good evening sir
686	0	There are several thousand tons of Hockley steel in this very ship
687	0	Which part All the right ones of course
688	0	Then we ll know who to hold accountable if there s a problem
689	0	Where s my daughter She ll be along
690	0	There is the Countess
691	0	Hello my dear Good evening Cal
692	0	So good to see you
693	0	I saw that in a nickelodeon once and I always wanted to do it
694	0	I ll see you at dinner
695	0	Darling
696	0	surely you remember Mr  Dawson
697	0	Dawson
698	0	That s amazing
699	0	You could almost pass for a gentleman
700	0	Almost
701	0	Extraordinary
702	0	My dear it s delightful to see you
703	0	What a remarkable voyage this is
704	0	It s mad isn t it Completely lunatic
705	0	There s the Countess of Rothes
706	0	And that s John Jacob Astor
707	0	the richest man on the ship
708	0	His little wifey there Madeleine is my age and in a delicate condition
709	0	See how she s trying to hide it
710	2	Quite the scandal
711	0	And that s Benjamin Guggenheim and his mistress Madame Aubert
712	0	Mrs  Guggenheim is at home with the children of course
713	0	And over here we have Sir Cosmo and Lucile Lady DuffGordon
714	0	She designs naughty lingerie among her many talents
715	0	Very popular with the royals
716	0	Congratulations Hockley  She s splendid
717	0	Why thank you
718	0	Care to escort a lady to dinner Certainly
719	0	Sweet pea
720	0	Ain t nothing to it is there Jack  Remember they love money
721	0	So just pretend like you own a gold mine and you re in the club
722	0	Hey Astor
723	0	Hello Molly nice to see you
724	0	J J  Madeleine I d like you to meet Jack Dawson
725	0	How do you do Pleasure
726	0	Well Jack
727	0	are you of the Boston Dawsons
728	0	No the Chippewa Falls Dawsons actually
729	0	Oh yes
730	4	He must have been nervous but he never faltered
731	4	They assumed he was one of them
732	4	Heir to a railroad fortune perhaps
733	4	New money obviously but still a member of the club
734	1	Mother of course could always be counted upon
735	0	Tell us of the accommodations in steerage Mr  Dawson
736	0	I hear they re quite good on this ship
737	0	The best I ve seen ma am  Hardly any rats
738	0	Mr  Dawson is joining us from the third class
739	0	He was of some assistance to my fiance last night
740	0	It turns out that Mr  Dawson is quite a fine artist
741	4	He was kind enough to show me some of his work today
742	0	Rose and I differ somewhat in our definition of fine art
743	0	Not to impugn your work sir
744	0	Are these all for me
745	0	Just start from the outside and work your way in
746	0	He knows every rivet in her don t you Thomas
747	0	Your ship is a wonder Mr  Andrews  Truly
748	4	Thank you Rose
749	0	How do you take your caviar sir
750	0	No caviar for me thanks
751	0	Never did like it much
752	0	And where exactly do you live Mr  Dawson
753	0	Right now my address is the RMS Titanic
754	0	After that I m on God s good humor
755	0	And how is it you have means to travel
756	0	I work my way from place to place
757	0	You know tramp steamers and such
758	4	But I won my ticket on Titanic here at a lucky hand at poker
759	4	A very lucky hand
760	4	All life is a game of luck
761	0	A real man makes his own luck Archie  Right Dawson
762	0	And you find that sort of rootless existence appealing do you
763	0	Yes ma am I do
764	0	I mean I ve got everything I need right here with me
765	0	I got air in my lungs and a few blank sheets of paper
766	0	I love waking up in the morning not knowing what s gonna happen
767	0	or who I m gonna meet
768	0	where I m gonna wind up
769	0	Just the other night I was sleeping under a bridge and now
770	0	here I am on the grandest ship in the world
771	0	having champagne with you fine people
772	4	I ll take some more of that
773	0	I figure life is a gift and I don t intend on wasting it
774	0	You never know what hand you re gonna get dealt next
775	0	You learn to take life as it comes at you
776	0	Here you go Cal
777	0	To make each day count
778	4	Well said Jack Hear hear
779	4	To making it count
780	4	To making it count
781	4	Bravo
782	0	But Mr  Brown had no idea I d hidden the money in the stove
783	0	So he comes home drunk as a pig celebrating and he lights a fire
784	0	Bravo
785	0	Next it ll be brandies in the smoking room
786	0	Join me in a brandy gentlemen What a good idea
787	0	Now they retreat into a cloud of smoke and congratulate each other
788	0	on being masters of the universe
789	0	Ladies thank you for the pleasure of your company
790	0	Rose may I escort you to the cabin
791	0	No I ll stay here
792	0	Here you go Molly
793	0	Joining us Dawson
794	0	You don t want to stay out here with the women do you
795	0	No thanks I ve got to be heading back Probably best
796	0	It ll be all business and politics that sort of thing
797	0	Wouldn t interest you
798	0	But Dawson
799	0	good of you to come
800	1	Jack must you go
801	0	Time for me to go row with the other slaves
802	0	Good night Rose
803	0	So you want to go to a real party
804	0	Is okay if I put my hand here  Okay
805	4	What
806	4	I can t understand you
807	4	I m going to dance with her now all right
808	4	Come on
809	4	What Come on
810	4	Come with me Jack  Jack wait
811	4	I can t do this
812	4	We re gonna have to get a little bit closer like this
813	4	You re still my best girl Cora
814	4	I don t know the steps Neither do I just go with it
815	4	Don t think
816	4	Wait Jack  Stop
817	4	Stop  Wait
818	4	Jack no
819	4	beyond the jurisdiction of the Sherman Act
820	0	So my lawyers will argue
821	0	That s what Rockefeller said but the Supreme Court is not swallowing it
822	0	What
823	0	You think a firstclass girl can t drink
824	2	Get out of here
825	0	You all right
826	0	I m fine
827	0	2 out of 3
828	0	So
829	2	you think you re big tough men
830	0	Let s see you do this
831	0	Hold this for me Jack  Hold it up
832	4	Jesus Mary and Joseph
833	4	Are you all right I haven t done that in years
834	0	Coffee sir
835	0	I had hoped you would come to me last night
836	0	I was tired
837	0	Your exertions below decks were no doubt exhausting
838	0	I see you had that undertaker of a manservant follow me  How typical
839	2	You will never behave like that again Rose do you understand
